humidity,carbon 
33.8,0.2
44.8,0.2
39.8,0.2
32.1,0.2
39.1,0.1
66.3,0.2
56.7,0.2
44.6,0.1
40.1,0.3
32.1,0.4
35.3,0.4
26.3,0.4
24.9,0.4
30.1,0.3
37.9,0.3
44.8,0.3
45.6,0.3
51.9,0.4
49.6,0.4
74.6,0.5
57.9,0.4
47.8,0.4
36.9,0.5
29.5,0.5
32,0.4
46.1,0.3
46,0.5
29.4,0.6
28.2,0.4
28.1,0.4
43.8,0.4
46.4,0.4
39.9,0.3
35.3,0.4
29.5,0.3
29.5,0.3
33,0.3
63.9,0.3
48.4,0.3
37.3,0.6
34,0.6
76.7,0.4
72.8,0.4
53.2,0.3
53.2,0.2
49.4,0.2
62.1,0.3
76,0.3
66.2,0.3
49.8,0.3
53.6,0.3
62.7,0.4
76.2,0.4
67.6,0.4
54.3,0.4
48.9,0.5
46.2,0.5
46.5,0.5
41.7,0.5
42.3,0.3
58.6,0.4
47.8,0.3
35.8,0.4
28.7,0.3
35.8,0.3
28,0.3
29.8,0.3
30.4,0.4
28.3,0.3
54.9,0.3
46.4,0.5
43.8,0.4
33.8,0.2
35.7,0.3
31.2,0.8
30.2,0.7
26.7,0.6
21.4,0.5
36.5,0.6
34.4,0.5
35.2,0.3
44.9,0.7
48.4,0.5
36,0.3
29.9,0.3
26.3,0.3
23.1,0.3
31.8,0.4
29.2,0.3
25.1,0.5
43.7,0.3
26.7,0.3
26.8,0.3
24,0.4
23.2,0.3
28.6,0.4
28.7,0.4
34.9,0.4
36.8,0.4
46.2,0.4
45.4,0.4
38.7,0.4
37,0.4
43.4,0.3
46.9,0.3
66.4,0.4
54.8,0.4
43,0.4
31,0.4
32.5,0.3
28.4,0.3
57.7,0.4
57.2,0.4
44.1,0.3
44,0.3
40.9,0.3
36.7,0.3
37.9,0.3
35.9,0.3
32.7,0.3
62.7,0.4
57.3,0.4
54.5,0.4
57.3,0.4
64.5,0.5
49.9,0.4
32.6,0.3
40.7,0.3
50.7,0.4
43,0.3
26.2,0.2
28.3,0.2
27.5,0.4
37.5,0.5
60,0.4
48.5,0.4
26.1,0.3
35.1,0.6
38.6,0.3
25.8,0.3
24.4,0.2
16,0.3
16,0.3
18.1,0.3
30.5,0.2
36.8,0.3
22.4,0.2
18.1,0.3
24.3,0.3
20.8,0.3
15.4,0.2
15.3,0.3
15.2,0.4
24.5,0.3
25.7,0.4
26,0.4
29.6,0.5
48.6,0.4
60.7,0.3
65.7,0.5
54.2,0.6
43.5,0.4
50.4,0.2
37.2,0.2
42.3,0.3
42.4,0.3
36.4,0.5
36.1,0.5
37,0.5
29.5,0.5
41.1,0.4
62.2,0.4
66.4,0.4
62.6,0.3
51.8,0.5
51.9,0.3
50,0.2
37.5,0.2
52.7,0.2
84.7,0.3
66.8,0.3
51.3,0.3
38.2,0
27.4,0.1
15.9,0.3
19.2,0
29.2,0
31.5,0.1
20,0.2
43.9,0.1
55.2,0
60.1,0.1
52.5,0.1
47.6,0.1
29.5,0.1
53.1,0.1
46.1,0.2
35.2,0.2
29.2,0.1
35.7,0.1
30.5,0.2
32.1,0.2
22.7,0.3
15.9,0.2
17.3,0.2
19.6,0.2
17.4,0.3
14.3,0.1
13,0.1
23.7,0.1
17.7,0.3
18.4,0.4
14.4,0.2
16,0.3
15.3,0.1
24.5,0.2
19.5,0.3
13.4,0.3
11.9,0.4
13,0.4
11.4,0.2
11.3,0.1
14,0.1
13.5,0.2
14.5,0.4
12.9,0.2
15.5,0.1
24.4,0.1
20.4,0.2
11.5,0.2
10.2,0.2
10.5,0.2
13.3,0.3
15.9,0.1
26.5,0.1
30.7,0.2
19.8,0.1
42.9,0.1
73.7,0.2
59.2,0.2
46.7,0.3
37.1,0.5
37.5,0.4
26.1,0.1
29.5,0.2
32.5,0.3
31.2,0.5
23.7,0.2
16.4,0.2
21,0.1
36.3,0.1
33.8,0.1
35.5,0.2
34.6,0.3
27.2,0.3
24,0.3
27.3,0.1
16.4,0.3
17.3,0.4
15.2,0.3
22.4,0.3
27.3,0.4
26.1,0.5
28.6,0.3
43.2,0.1
44.6,0.2
19.8,0.2
20.4,0.2
19.8,0.4
25.1,0.3
47.5,0.2
32.3,0.2
30.4,0.2
69.1,0.1
48.2,0.1
40.9,0.2
42.2,0.1
49.2,0.1
41.4,0.1
33,0.2
31.2,0.2
28.7,0.2
23.3,0.3
19.9,0.3
17.5,0.2
18.4,0.3
18.3,0.2
24.1,0.1
26.1,0.1
20.3,0.1
19.9,0.1
23.7,0.1
25.7,0
24.5,0.1
25.8,0.1
31.9,0.1
46.7,0.1
43.9,0.1
54.5,0
42.6,0
40.2,0
40.8,0
56.9,0
54.2,0.1
39.7,0
31.1,0
32.8,0.1
24.8,0
25.1,0.1
25.2,0
24.9,0.1
20.4,0
21.9,0
22.9,0.1
23.1,0
27.6,0
22.6,0
17.5,0
20.5,0
22.9,0.1
26.5,0.1
33.7,0
28.8,0.1
25.2,0.2
32,0.2
20.4,0
24.1,0
25.2,0.2
24,0
20.9,0.1
20.9,0.3
20.6,0.5
21.2,0.4
21,0.3
26.6,0.4
21.8,0.2
35.7,0.2
47.9,0.3
33.8,0.5
26.7,0.6
23.8,0.5
23.5,0.5
21.9,0.3
19.8,0.3
23.9,0.4
22.8,0.4
23.9,0.4
22.6,0.5
18.4,0.3
13.8,0.2
