humidity,ozone
66.6,34
54.2,38
47.9,34
45.9,33
42,31
66,20
69.8,19
55.7,23
42.5,29
41.7,28
47.5,39
35.9,33
33.6,23
33.7,24
41.8,26
30.1,21
28,23
28.3,21
19.4,24
29.6,21
30.4,22
27,22
26.4,27
34.4,31
29.5,30
55.3,31
47.6,25
50.6,20
39,39
63.8,33
46.8,25
28.5,23
36.3,21
24.8,29
23.1,26
23,25
35.2,28
65.4,25
60.8,27
51.7,24
40.9,16
24.2,15
37.6,25
35.4,17
20.8,21
17.4,27
17.4,28
16.1,24
17.5,25
28.6,41
32.1,32
37.3,25
32.1,25
27.7,18
25.7,22
29.5,19
27.3,30
32.6,20
30.4,22
28.6,20
24.5,20
23.9,22
35.7,17
56.9,27
67.2,25
67.3,17
61.4,16
44.5,24
33.4,32
36.1,29
57,25
53.8,22
51.3,24
50,19
34.9,23
27.6,21
26.1,13
23.2,34
18.3,29
26.2,28
32.2,17
41,15
40.7,29
35.4,14
31,25
31.6,32
58.4,18
32.7,32
36.9,39
34.8,37
34.5,19
20.4,35
21.1,29
25,36
26.2,43
27.7,42
33.8,41
27.9,32
28.7,40
27,46
31.4,47
23.6,39
19.6,40
19.6,28
24.6,31
28.9,30
36.3,30
32.9,38
29.8,35
31.3,31
27.5,25
25.4,26
21.9,16
36.7,29
26.8,25
25.1,20
43.9,22
72.4,24
68.2,21
59.5,27
62.3,23
46.3,23
23.1,23
30.8,28
52.4,23
48.9,19
38.4,22
18.8,26
19,26
25.9,29
36.5,29
36,28
40.5,30
38.3,20
32.6,30
22.3,38
25.9,35
30.5,28
35.8,22
42.5,30
38.8,28
28.2,27
16.7,25
22.2,19
25.7,34
25.8,25
24.1,28
31.9,31
30.5,31
24.8,23
25.6,32
40.6,25
30.3,26
32.5,17
31.7,18
43.5,13
45.2,18
27.7,16
29.5,10
70.1,15
62.9,15
52.3,14
38.3,16
36.7,20
49.1,23
38.4,13
20.5,21
23.8,12
17.6,18
25.9,30
20.4,33
26.8,19
17.6,18
26.4,23
29.1,21
22.5,25
23.5,15
29.8,21
29,9
19.8,35
31.5,21
33.8,40
44.8,37
39.8,37
32.1,36
39.1,37
66.3,35
56.7,33
44.6,33
40.1,45
32.1,40
35.3,38
26.3,35
24.9,33
30.1,34
37.9,34
44.8,35
45.6,31
51.9,23
49.6,27
74.6,15
57.9,24
47.8,32
36.9,34
29.5,20
32,29
46.1,36
46,30
29.4,22
28.2,30
28.1,27
43.8,21
46.4,22
39.9,13
35.3,16
29.5,18
29.5,24
33,28
63.9,33
48.4,32
37.3,22
34,18
76.7,19
72.8,18
53.2,22
53.2,21
49.4,27
62.1,28
76,23
66.2,20
49.8,28
53.6,32
62.7,18
76.2,12
67.6,19
54.3,18
48.9,14
46.2,17
46.5,15
41.7,17
42.3,20
58.6,21
47.8,20
35.8,20
28.7,30
35.8,30
28,29
29.8,27
30.4,22
28.3,26
54.9,27
46.4,27
43.8,22
33.8,32
35.7,23
31.2,12
30.2,11
26.7,12
21.4,22
36.5,14
34.4,16
35.2,33
44.9,21
48.4,15
36,31
29.9,31
26.3,31
23.1,26
31.8,14
29.2,22
25.1,20
43.7,28
26.7,34
26.8,42
24,38
23.2,43
28.6,38
28.7,38
34.9,37
36.8,44
46.2,36
45.4,29
38.7,24
37,32
43.4,31
46.9,32
66.4,33
54.8,33
43,33
31,38
32.5,33
28.4,30
57.7,23
57.2,27
44.1,19
44,26
40.9,25
36.7,22
37.9,21
35.9,22
32.7,28
62.7,19
57.3,22
54.5,30
57.3,25
64.5,25
49.9,21
32.6,30
40.7,36
50.7,35
43,22
26.2,25
28.3,26
27.5,31
37.5,25
60,14
48.5,24
26.1,31
35.1,25
38.6,27
25.8,31
24.4,36
16,22
16,20
18.1,17
30.5,26
36.8,21
22.4,21
18.1,34
24.3,33
20.8,29
15.4,36
15.3,22
15.2,15
24.5,31
25.7,21
26,20
29.6,14
48.6,32
60.7,14
65.7,8
54.2,14
43.5,13
50.4,19
37.2,16
42.3,15
42.4,21
36.4,24
36.1,21
37,13
29.5,15
41.1,13
62.2,17
66.4,15
62.6,24
51.8,18
51.9,18
50,24
37.5,32
52.7,25
84.7,12
66.8,23
51.3,35
38.2,36
27.4,39
15.9,37
19.2,50
29.2,44
31.5,30
20,22
43.9,35
55.2,19
60.1,21
52.5,26
47.6,29
29.5,45
53.1,36
46.1,34
35.2,32
29.2,44
35.7,46
30.5,48
32.1,43
22.7,37
15.9,39
17.3,34
19.6,28
17.4,28
14.3,35
13,36
23.7,38
17.7,32
18.4,22
14.4,32
16,29
15.3,32
24.5,37
19.5,25
13.4,21
11.9,24
13,21
11.4,25
11.3,30
14,28
13.5,24
14.5,20
12.9,25
15.5,32
24.4,39
20.4,28
11.5,29
10.2,24
10.5,22
13.3,19
15.9,25
26.5,26
30.7,26
19.8,29
42.9,20
73.7,22
59.2,20
46.7,17
37.1,15
37.5,16
26.1,37
29.5,32
32.5,22
31.2,17
23.7,22
16.4,25
21,31
36.3,31
33.8,30
35.5,21
34.6,14
27.2,14
24,18
27.3,31
16.4,22
17.3,9
15.2,15
22.4,25
27.3,21
26.1,20
28.6,32
43.2,25
44.6,21
19.8,31
20.4,23
19.8,21
25.1,20
47.5,24
32.3,26
30.4,25
69.1,23
48.2,34
40.9,40
42.2,31
49.2,30
41.4,33
33,28
31.2,33
28.7,32
23.3,27
19.9,33
17.5,43
18.4,40
18.3,31
24.1,39
26.1,36
20.3,31
19.9,37
23.7,40
25.7,31
24.5,39
25.8,38
31.9,35
46.7,32
43.9,28
54.5,30
42.6,25
40.2,24
40.8,26
56.9,36
54.2,27
39.7,32
31.1,41
32.8,39
24.8,41
25.1,25
25.2,16
24.9,12
20.4,23
21.9,36
22.9,24
23.1,35
27.6,29
22.6,34
17.5,32
20.5,40
22.9,34
26.5,23
33.7,21
28.8,15
25.2,14
32,21
20.4,27
24.1,21
25.2,15
24,35
20.9,32
20.9,18
20.6,15
21.2,17
21,26
26.6,17
21.8,17
35.7,24
47.9,21
33.8,16
26.7,17
23.8,15
23.5,11
21.9,14
19.8,22
23.9,15
22.8,17
23.9,21
22.6,18
18.4,27
13.8,34
