nitrogen,carbon 
5.1,0.2
2.9,0.2
3.8,0.2
7.2,0.2
8,0.1
7,0.2
6.2,0.2
7.9,0.1
5.6,0.3
10.6,0.4
12.4,0.4
15.8,0.4
12.9,0.4
4.6,0.3
0.9,0.3
0.2,0.3
2,0.3
3.3,0.4
2.6,0.4
6.1,0.5
4.2,0.4
6.4,0.4
15.5,0.5
20.8,0.5
7.5,0.4
0.6,0.3
13.1,0.5
22.2,0.6
10.1,0.4
8.1,0.4
5.9,0.4
5,0.4
6.4,0.3
7.2,0.4
6.4,0.3
3.3,0.3
1.7,0.3
9.4,0.3
6.9,0.3
18.7,0.6
18.7,0.6
7,0.4
5.5,0.4
7.5,0.3
1.8,0.2
2.6,0.2
3.5,0.3
4.7,0.3
3.2,0.3
3.6,0.3
3.2,0.3
9.2,0.4
8.7,0.4
10.4,0.4
14.8,0.4
20.3,0.5
18.3,0.5
17.4,0.5
16.9,0.5
7.7,0.3
7.9,0.4
11.1,0.3
15.5,0.4
8.9,0.3
10.9,0.3
11.7,0.3
12.3,0.3
16.1,0.4
12.4,0.3
4.2,0.3
11.4,0.5
8.7,0.4
2.7,0.2
16.2,0.3
34.4,0.8
30.4,0.7
29.8,0.6
19.4,0.5
23.5,0.6
24.1,0.5
12.9,0.3
27.5,0.7
22.7,0.5
8.4,0.3
10,0.3
7.4,0.3
13.5,0.3
23.3,0.4
23.7,0.3
19.4,0.5
10.6,0.3
1,0.3
2.4,0.3
7.1,0.4
3.5,0.3
6.6,0.4
4.2,0.4
4.2,0.4
1.7,0.4
6.1,0.4
5.3,0.4
4.3,0.4
5,0.4
4,0.3
2.7,0.3
0,0.4
6.2,0.4
4.7,0.4
4.6,0.4
5.1,0.3
5.4,0.3
5,0.4
6.2,0.4
6,0.3
4.2,0.3
6,0.3
4.9,0.3
6.2,0.3
10.4,0.3
4.3,0.3
5.2,0.4
5.4,0.4
7.8,0.4
5.4,0.4
3.2,0.5
6.4,0.4
3.7,0.3
6.7,0.4
7.1,0.3
6.5,0.2
3.3,0.2
10.4,0.4
10.5,0.5
5.9,0.4
6.2,0.4
8.6,0.3
16.4,0.6
5.4,0.3
10.9,0.3
4.7,0.2
15.9,0.3
19.3,0.3
19.2,0.3
8,0.2
16,0.3
15.5,0.2
7.7,0.3
8.5,0.3
9.1,0.3
6.4,0.2
16.2,0.3
20.6,0.4
2.8,0.3
18.1,0.4
18.5,0.5
8.4,0.4
5.3,0.3
12.2,0.5
16.4,0.6
13.5,0.2
12.2,0.3
12.6,0.3
23.3,0.5
22.8,0.5
21.4,0.5
28.5,0.5
35.2,0.4
18.1,0.4
19.7,0.4
13.9,0.3
19.9,0.5
10.1,0.3
7.1,0.2
5.3,0.2
7.8,0.2
7.8,0.3
6,0.3
5.9,0.3
5.7,0
12.4,0.1
21.8,0.3
5.6,0
3.9,0
11,0.1
18.4,0.2
4.2,0.1
4.4,0
4.1,0.1
8.2,0.1
9.8,0.1
6.7,0.1
7.8,0.1
16.7,0.2
16.5,0.2
8.1,0.1
11.8,0.1
9.8,0.2
8.3,0.2
18.8,0.3
17.3,0.2
17.4,0.2
20.1,0.2
24,0.3
14.2,0.1
4.8,0.1
17.2,0.3
28.6,0.4
19.4,0.2
18.9,0.3
9.9,0.1
14.8,0.2
22.3,0.3
27.5,0.3
28.3,0.4
30.7,0.4
21.8,0.2
12.1,0.1
9.3,0.1
18.5,0.2
30.8,0.4
21,0.2
10.8,0.1
10.5,0.1
16.2,0.2
12.6,0.2
15.2,0.2
19.5,0.2
22.4,0.3
13.7,0.1
9.3,0.1
13.9,0.2
3.6,0.1
4.6,0.1
5.8,0.2
13,0.2
21.2,0.3
22.8,0.5
26.2,0.4
7.3,0.1
16.7,0.2
29,0.3
37.2,0.5
16.8,0.2
21.4,0.2
9.4,0.1
4.8,0.1
6.8,0.1
12.6,0.2
23.6,0.3
22.8,0.3
10.5,0.1
19.6,0.3
26.3,0.4
23.5,0.3
18.9,0.3
24.5,0.4
29.9,0.5
8.3,0.3
7.1,0.1
9.3,0.1
12.5,0.2
7.4,0.1
7.2,0.1
11.6,0.1
17.7,0.2
15.4,0.2
18.4,0.2
24.4,0.3
19.7,0.3
12.2,0.2
21.9,0.3
22.3,0.2
9.3,0.1
14.5,0.1
16.4,0.1
15.2,0.1
7.6,0.1
5.9,0
6.4,0.1
11.6,0.1
13.4,0.1
13,0.1
11.6,0.1
8.4,0
9.4,0
6.4,0
8.9,0
6.6,0
13.6,0.1
12.5,0
8.6,0
15.5,0.1
12.6,0
18.3,0.1
16.1,0
17,0.1
8.1,0
7.2,0
15.2,0.1
4.7,0
15.7,0
13.8,0
12.3,0
5.6,0
11,0.1
12,0.1
14.5,0
19.9,0.1
22.1,0.2
22.9,0.2
10.7,0
13.8,0
23.7,0.2
4.6,0
8.4,0.1
21.7,0.3
25.7,0.5
22.1,0.4
16.7,0.3
26.1,0.4
19.8,0.2
15.9,0.2
19.5,0.3
26.1,0.5
27.5,0.6
24.1,0.5
26,0.5
23.2,0.3
16.6,0.3
24.3,0.4
21.6,0.4
27.1,0.4
19,0.5
13.5,0.3
6.9,0.2
