nitrogen,humidity
6.7,66.6
5.4,54.2
4.4,47.9
3.9,45.9
3.4,42
9.3,66
6.2,69.8
4.8,55.7
7.7,42.5
4.8,41.7
12.3,47.5
5.5,35.9
9.7,33.6
13.8,33.7
9.8,41.8
9.1,30.1
15.4,28
13.1,28.3
17,19.4
11.9,29.6
10.4,30.4
9.6,27
5,26.4
7.9,34.4
4.7,29.5
4.9,55.3
21.5,47.6
17.2,50.6
7.5,39
9.7,63.8
11.1,46.8
11.3,28.5
5,36.3
9.3,24.8
10.8,23.1
12.6,23
7.3,35.2
2.2,65.4
1.5,60.8
13.8,51.7
14.1,40.9
18.1,24.2
14.7,37.6
21.1,35.4
13.4,20.8
9.2,17.4
9.8,17.4
12,16.1
14.8,17.5
3.9,28.6
17.3,32.1
20.3,37.3
20.7,32.1
29.9,27.7
16.2,25.7
12.7,29.5
16.9,27.3
19.2,32.6
20.6,30.4
21.6,28.6
15.1,24.5
11.9,23.9
9.9,35.7
4,56.9
5.2,67.2
7.4,67.3
12.8,61.4
10.9,44.5
6.2,33.4
10.7,36.1
7.5,57
10.4,53.8
10.8,51.3
11.2,50
16.5,34.9
17.6,27.6
25.8,26.1
4.3,23.2
8.5,18.3
7.6,26.2
18.5,32.2
15.3,41
6.9,40.7
21.9,35.4
10.2,31
3,31.6
10.6,58.4
1,32.7
1.2,36.9
1.8,34.8
15.3,34.5
15.2,20.4
14.9,21.1
8.4,25
8.7,26.2
5.8,27.7
10.9,33.8
19.2,27.9
8.7,28.7
4.5,27
0.7,31.4
9.1,23.6
17.8,19.6
16.4,19.6
6.7,24.6
4.2,28.9
5.4,36.3
2.4,32.9
4,29.8
4.3,31.3
6.8,27.5
6.6,25.4
9,21.9
3.3,36.7
3.8,26.8
14.7,25.1
10.2,43.9
2.3,72.4
2.7,68.2
3.2,59.5
3.8,62.3
8,46.3
10.2,23.1
9.3,30.8
2.7,52.4
3.5,48.9
8.1,38.4
15.8,18.8
7.4,19
6.6,25.9
3,36.5
10.8,36
18.2,40.5
15.9,38.3
6.1,32.6
2.5,22.3
10.4,25.9
21,30.5
20,35.8
9.6,42.5
8,38.8
6.1,28.2
10.7,16.7
14,22.2
2.7,25.7
20.2,25.8
11.7,24.1
0.5,31.9
4.8,30.5
12.6,24.8
6.5,25.6
12.5,40.6
10.6,30.3
13.8,32.5
12.3,31.7
13.6,43.5
9.1,45.2
16.1,27.7
14.1,29.5
13,70.1
15.1,62.9
21.1,52.3
16.2,38.3
7.2,36.7
19.2,49.1
21.2,38.4
13.4,20.5
27,23.8
14.5,17.6
4.5,25.9
5.6,20.4
14.2,26.8
16.1,17.6
14.9,26.4
13.7,29.1
9.1,22.5
17.8,23.5
30,29.8
34.8,29
4.6,19.8
12.6,36.8
17.5,31.5
5.1,33.8
2.9,44.8
3.8,39.8
7.2,32.1
8,39.1
7,66.3
6.2,56.7
7.9,44.6
5.6,40.1
10.6,32.1
12.4,35.3
15.8,26.3
12.9,24.9
4.6,30.1
0.9,37.9
0.2,44.8
2,45.6
3.3,51.9
2.6,49.6
6.1,74.6
4.2,57.9
6.4,47.8
15.5,36.9
20.8,29.5
7.5,32
0.6,46.1
13.1,46
22.2,29.4
10.1,28.2
8.1,28.1
5.9,43.8
5,46.4
6.4,39.9
7.2,35.3
6.4,29.5
3.3,29.5
1.7,33
9.4,63.9
6.9,48.4
18.7,37.3
18.7,34
7,76.7
5.5,72.8
7.5,53.2
1.8,53.2
2.6,49.4
3.5,62.1
4.7,76
3.2,66.2
3.6,49.8
3.2,53.6
9.2,62.7
8.7,76.2
10.4,67.6
14.8,54.3
20.3,48.9
18.3,46.2
17.4,46.5
16.9,41.7
7.7,42.3
7.9,58.6
11.1,47.8
15.5,35.8
8.9,28.7
10.9,35.8
11.7,28
12.3,29.8
16.1,30.4
12.4,28.3
4.2,54.9
11.4,46.4
8.7,43.8
2.7,33.8
16.2,35.7
34.4,31.2
30.4,30.2
29.8,26.7
19.4,21.4
23.5,36.5
24.1,34.4
12.9,35.2
27.5,44.9
22.7,48.4
8.4,36
10,29.9
7.4,26.3
13.5,23.1
23.3,31.8
23.7,29.2
19.4,25.1
10.6,43.7
1,26.7
2.4,26.8
7.1,24
3.5,23.2
6.6,28.6
4.2,28.7
4.2,34.9
1.7,36.8
6.1,46.2
5.3,45.4
4.3,38.7
5,37
4,43.4
2.7,46.9
0,66.4
6.2,54.8
4.7,43
4.6,31
5.1,32.5
5.4,28.4
5,57.7
6.2,57.2
6,44.1
4.2,44
6,40.9
4.9,36.7
6.2,37.9
10.4,35.9
4.3,32.7
5.2,62.7
5.4,57.3
7.8,54.5
5.4,57.3
3.2,64.5
6.4,49.9
3.7,40.7
6.7,50.7
7.1,43
6.5,26.2
3.3,28.3
10.4,27.5
10.5,37.5
5.9,60
6.2,48.5
8.6,26.1
16.4,35.1
5.4,38.6
10.9,25.8
4.7,24.4
15.9,16
19.3,16
19.2,18.1
8,30.5
16,36.8
15.5,22.4
7.7,18.1
8.5,24.3
9.1,20.8
6.4,15.4
16.2,15.3
20.6,15.2
2.8,24.5
18.1,26
18.5,29.6
8.4,48.6
5.3,60.7
12.2,65.7
16.4,54.2
13.5,37.2
12.2,42.3
12.6,42.4
23.3,36.4
22.8,36.1
21.4,37
28.5,29.5
35.2,41.1
18.1,62.2
19.7,66.4
13.9,62.6
19.9,51.8
10.1,51.9
7.1,50
5.3,37.5
7.8,52.7
7.8,84.7
6,66.8
5.9,51.3
5.7,38.2
12.4,27.4
21.8,15.9
5.6,19.2
3.9,29.2
11,31.5
18.4,20
4.2,43.9
4.4,55.2
4.1,60.1
8.2,52.5
9.8,47.6
6.7,29.5
7.8,53.1
16.7,46.1
16.5,35.2
8.1,29.2
11.8,35.7
9.8,30.5
8.3,32.1
18.8,22.7
17.3,15.9
17.4,17.3
20.1,19.6
24,17.4
14.2,14.3
4.8,23.7
17.2,17.7
28.6,18.4
19.4,14.4
18.9,16
9.9,15.3
14.8,24.5
22.3,19.5
27.5,13.4
28.3,11.9
30.7,13
21.8,11.4
12.1,11.3
9.3,14
18.5,13.5
30.8,14.5
21,12.9
10.8,15.5
10.5,24.4
16.2,20.4
12.6,11.5
15.2,10.2
19.5,10.5
22.4,13.3
13.7,15.9
9.3,26.5
13.9,30.7
3.6,19.8
4.6,42.9
5.8,73.7
13,59.2
21.2,46.7
22.8,37.1
26.2,37.5
7.3,26.1
16.7,29.5
29,32.5
37.2,31.2
16.8,23.7
21.4,16.4
9.4,21
4.8,36.3
6.8,33.8
12.6,35.5
23.6,27.2
22.8,24
10.5,27.3
19.6,16.4
26.3,17.3
23.5,15.2
18.9,22.4
24.5,27.3
29.9,26.1
8.3,28.6
7.1,69.1
9.3,48.2
12.5,40.9
7.4,42.2
7.2,49.2
11.6,41.4
17.7,33
15.4,31.2
18.4,28.7
24.4,23.3
19.7,19.9
12.2,17.5
21.9,18.4
22.3,18.3
9.3,24.1
14.5,26.1
16.4,20.3
15.2,19.9
7.6,23.7
5.9,25.7
6.4,24.5
11.6,25.8
13.4,31.9
13,46.7
11.6,43.9
8.4,54.5
9.4,42.6
6.4,40.2
8.9,40.8
6.6,56.9
13.6,54.2
12.5,39.7
8.6,31.1
15.5,32.8
12.6,24.8
18.3,25.1
16.1,25.2
17,24.9
8.1,20.4
7.2,21.9
15.2,22.9
4.7,23.1
15.7,27.6
13.8,22.6
12.3,17.5
5.6,20.5
11,22.9
12,26.5
14.5,33.7
19.9,28.8
22.1,25.2
22.9,32
10.7,20.4
13.8,24.1
23.7,25.2
4.6,24
8.4,20.9
21.7,20.9
25.7,20.6
22.1,21.2
16.7,21
26.1,26.6
19.8,21.8
15.9,35.7
19.5,47.9
26.1,33.8
27.5,26.7
24.1,23.8
26,23.5
23.2,21.9
16.6,19.8
24.3,23.9
21.6,22.8
27.1,23.9
19,22.6
13.5,18.4
6.9,13.8
