ozone,carbon 
40,0.2
37,0.2
37,0.2
36,0.2
37,0.1
35,0.2
33,0.2
33,0.1
45,0.3
40,0.4
38,0.4
35,0.4
33,0.4
34,0.3
34,0.3
35,0.3
31,0.3
23,0.4
27,0.4
15,0.5
24,0.4
32,0.4
34,0.5
20,0.5
29,0.4
36,0.3
30,0.5
22,0.6
30,0.4
27,0.4
21,0.4
22,0.4
13,0.3
16,0.4
18,0.3
24,0.3
28,0.3
33,0.3
32,0.3
22,0.6
18,0.6
19,0.4
18,0.4
22,0.3
21,0.2
27,0.2
28,0.3
23,0.3
20,0.3
28,0.3
32,0.3
18,0.4
12,0.4
19,0.4
18,0.4
14,0.5
17,0.5
15,0.5
17,0.5
20,0.3
21,0.4
20,0.3
20,0.4
30,0.3
30,0.3
29,0.3
27,0.3
22,0.4
26,0.3
27,0.3
27,0.5
22,0.4
32,0.2
23,0.3
12,0.8
11,0.7
12,0.6
22,0.5
14,0.6
16,0.5
33,0.3
21,0.7
15,0.5
31,0.3
31,0.3
31,0.3
26,0.3
14,0.4
22,0.3
20,0.5
28,0.3
34,0.3
42,0.3
38,0.4
43,0.3
38,0.4
38,0.4
37,0.4
44,0.4
36,0.4
29,0.4
24,0.4
32,0.4
31,0.3
32,0.3
33,0.4
33,0.4
33,0.4
38,0.4
33,0.3
30,0.3
23,0.4
27,0.4
19,0.3
26,0.3
25,0.3
22,0.3
21,0.3
22,0.3
28,0.3
19,0.4
22,0.4
30,0.4
25,0.4
25,0.5
21,0.4
30,0.3
36,0.3
35,0.4
22,0.3
25,0.2
26,0.2
31,0.4
25,0.5
14,0.4
24,0.4
31,0.3
25,0.6
27,0.3
31,0.3
36,0.2
22,0.3
20,0.3
17,0.3
26,0.2
21,0.3
21,0.2
34,0.3
33,0.3
29,0.3
36,0.2
22,0.3
15,0.4
31,0.3
21,0.4
20,0.4
14,0.5
32,0.4
14,0.3
8,0.5
14,0.6
13,0.4
19,0.2
16,0.2
15,0.3
21,0.3
24,0.5
21,0.5
13,0.5
15,0.5
13,0.4
17,0.4
15,0.4
24,0.3
18,0.5
18,0.3
24,0.2
32,0.2
25,0.2
12,0.3
23,0.3
35,0.3
36,0
39,0.1
37,0.3
50,0
44,0
30,0.1
22,0.2
35,0.1
19,0
21,0.1
26,0.1
29,0.1
45,0.1
36,0.1
34,0.2
32,0.2
44,0.1
46,0.1
48,0.2
43,0.2
37,0.3
39,0.2
34,0.2
28,0.2
28,0.3
35,0.1
36,0.1
38,0.1
32,0.3
22,0.4
32,0.2
29,0.3
32,0.1
37,0.2
25,0.3
21,0.3
24,0.4
21,0.4
25,0.2
30,0.1
28,0.1
24,0.2
20,0.4
25,0.2
32,0.1
39,0.1
28,0.2
29,0.2
24,0.2
22,0.2
19,0.3
25,0.1
26,0.1
26,0.2
29,0.1
20,0.1
22,0.2
20,0.2
17,0.3
15,0.5
16,0.4
37,0.1
32,0.2
22,0.3
17,0.5
22,0.2
25,0.2
31,0.1
31,0.1
30,0.1
21,0.2
14,0.3
14,0.3
18,0.3
31,0.1
22,0.3
9,0.4
15,0.3
25,0.3
21,0.4
20,0.5
32,0.3
25,0.1
21,0.2
31,0.2
23,0.2
21,0.4
20,0.3
24,0.2
26,0.2
25,0.2
23,0.1
34,0.1
40,0.2
31,0.1
30,0.1
33,0.1
28,0.2
33,0.2
32,0.2
27,0.3
33,0.3
43,0.2
40,0.3
31,0.2
39,0.1
36,0.1
31,0.1
37,0.1
40,0.1
31,0
39,0.1
38,0.1
35,0.1
32,0.1
28,0.1
30,0
25,0
24,0
26,0
36,0
27,0.1
32,0
41,0
39,0.1
41,0
25,0.1
16,0
12,0.1
23,0
36,0
24,0.1
35,0
29,0
34,0
32,0
40,0
34,0.1
23,0.1
21,0
15,0.1
14,0.2
21,0.2
27,0
21,0
15,0.2
35,0
32,0.1
18,0.3
15,0.5
17,0.4
26,0.3
17,0.4
17,0.2
24,0.2
21,0.3
16,0.5
17,0.6
15,0.5
11,0.5
14,0.3
22,0.3
15,0.4
17,0.4
21,0.4
18,0.5
27,0.3
34,0.2
