sulfur,humidity
0.4,66.6
0.5,54.2
0.6,47.9
0.8,45.9
0.8,42
0.7,66
0.7,69.8
0.7,55.7
0.7,42.5
0.6,41.7
1.5,47.5
0.9,35.9
0.9,33.6
1.1,33.7
0.9,41.8
0.9,30.1
0.9,28
0.8,28.3
1.1,19.4
0.9,29.6
1.6,30.4
1.7,27
0.7,26.4
0.6,34.4
0.3,29.5
0.3,55.3
0.5,47.6
0.5,50.6
0.4,39
0.3,63.8
0.4,46.8
0.5,28.5
0.4,36.3
0.5,24.8
0.4,23.1
0.5,23
0.3,35.2
0.2,65.4
0.5,60.8
1,51.7
0.8,40.9
1.1,24.2
1.3,37.6
1.2,35.4
1,20.8
1,17.4
1,17.4
1.1,16.1
1,17.5
0.7,28.6
1.1,32.1
1.4,37.3
0.9,32.1
1.2,27.7
0.9,25.7
0.7,29.5
0.9,27.3
0.9,32.6
1.3,30.4
1.7,28.6
1.3,24.5
1.3,23.9
1.2,35.7
0.8,56.9
0.8,67.2
1,67.3
0.8,61.4
0.7,44.5
0.5,33.4
0.6,36.1
0.6,57
0.6,53.8
0.6,51.3
1,50
1,34.9
1.1,27.6
1.5,26.1
0.8,23.2
0.5,18.3
0.5,26.2
0.9,32.2
1.1,41
0.7,40.7
1.3,35.4
0.8,31
0.6,31.6
0.8,58.4
0.9,32.7
1,36.9
0.9,34.8
1.2,34.5
1.7,20.4
1.7,21.1
1.3,25
1.3,26.2
1.4,27.7
1.6,33.8
1.7,27.9
1.5,28.7
1.5,27
1.1,31.4
1,23.6
1.4,19.6
1.2,19.6
1,24.6
1,28.9
0.9,36.3
0.7,32.9
0.5,29.8
0.7,31.3
0.7,27.5
0.7,25.4
1.1,21.9
0.8,36.7
0.6,26.8
0.7,25.1
0.7,43.9
0.4,72.4
0.3,68.2
0.2,59.5
0.3,62.3
0.8,46.3
1,23.1
1,30.8
0.6,52.4
0.6,48.9
1,38.4
1.1,18.8
1.2,19
1,25.9
0.8,36.5
1.1,36
1.4,40.5
1.2,38.3
0.8,32.6
0.2,22.3
0.3,25.9
0.5,30.5
0.8,35.8
0.5,42.5
0.6,38.8
0.5,28.2
0.7,16.7
1,22.2
0.4,25.7
1,25.8
0.9,24.1
0.6,31.9
1,30.5
1.5,24.8
1.4,25.6
1.6,40.6
1.5,30.3
1.5,32.5
1.3,31.7
1.6,43.5
1,45.2
1.1,27.7
1.1,29.5
1,70.1
1.2,62.9
1.5,52.3
1.3,38.3
1,36.7
1,49.1
1.5,38.4
0.9,20.5
1.5,23.8
1.3,17.6
0.7,25.9
0.8,20.4
1,26.8
0.9,17.6
0.9,26.4
0.9,29.1
0.7,22.5
1.1,23.5
1.7,29.8
2.5,29
1.1,19.8
1.4,36.8
1.6,31.5
