sulfur,nitrogen
0.4,6.7
0.5,5.4
0.6,4.4
0.8,3.9
0.8,3.4
0.7,9.3
0.7,6.2
0.7,4.8
0.7,7.7
0.6,4.8
1.5,12.3
0.9,5.5
0.9,9.7
1.1,13.8
0.9,9.8
0.9,9.1
0.9,15.4
0.8,13.1
1.1,17
0.9,11.9
1.6,10.4
1.7,9.6
0.7,5
0.6,7.9
0.3,4.7
0.3,4.9
0.5,21.5
0.5,17.2
0.4,7.5
0.3,9.7
0.4,11.1
0.5,11.3
0.4,5
0.5,9.3
0.4,10.8
0.5,12.6
0.3,7.3
0.2,2.2
0.5,1.5
1,13.8
0.8,14.1
1.1,18.1
1.3,14.7
1.2,21.1
1,13.4
1,9.2
1,9.8
1.1,12
1,14.8
0.7,3.9
1.1,17.3
1.4,20.3
0.9,20.7
1.2,29.9
0.9,16.2
0.7,12.7
0.9,16.9
0.9,19.2
1.3,20.6
1.7,21.6
1.3,15.1
1.3,11.9
1.2,9.9
0.8,4
0.8,5.2
1,7.4
0.8,12.8
0.7,10.9
0.5,6.2
0.6,10.7
0.6,7.5
0.6,10.4
0.6,10.8
1,11.2
1,16.5
1.1,17.6
1.5,25.8
0.8,4.3
0.5,8.5
0.5,7.6
0.9,18.5
1.1,15.3
0.7,6.9
1.3,21.9
0.8,10.2
0.6,3
0.8,10.6
0.9,1
1,1.2
0.9,1.8
1.2,15.3
1.7,15.2
1.7,14.9
1.3,8.4
1.3,8.7
1.4,5.8
1.6,10.9
1.7,19.2
1.5,8.7
1.5,4.5
1.1,0.7
1,9.1
1.4,17.8
1.2,16.4
1,6.7
1,4.2
0.9,5.4
0.7,2.4
0.5,4
0.7,4.3
0.7,6.8
0.7,6.6
1.1,9
0.8,3.3
0.6,3.8
0.7,14.7
0.7,10.2
0.4,2.3
0.3,2.7
0.2,3.2
0.3,3.8
0.8,8
1,10.2
1,9.3
0.6,2.7
0.6,3.5
1,8.1
1.1,15.8
1.2,7.4
1,6.6
0.8,3
1.1,10.8
1.4,18.2
1.2,15.9
0.8,6.1
0.2,2.5
0.3,10.4
0.5,21
0.8,20
0.5,9.6
0.6,8
0.5,6.1
0.7,10.7
1,14
0.4,2.7
1,20.2
0.9,11.7
0.6,0.5
1,4.8
1.5,12.6
1.4,6.5
1.6,12.5
1.5,10.6
1.5,13.8
1.3,12.3
1.6,13.6
1,9.1
1.1,16.1
1.1,14.1
1,13
1.2,15.1
1.5,21.1
1.3,16.2
1,7.2
1,19.2
1.5,21.2
0.9,13.4
1.5,27
1.3,14.5
0.7,4.5
0.8,5.6
1,14.2
0.9,16.1
0.9,14.9
0.9,13.7
0.7,9.1
1.1,17.8
1.7,30
2.5,34.8
1.1,4.6
1.4,12.6
1.6,17.5
