sulfur,ozone
0.4,34
0.5,38
0.6,34
0.8,33
0.8,31
0.7,20
0.7,19
0.7,23
0.7,29
0.6,28
1.5,39
0.9,33
0.9,23
1.1,24
0.9,26
0.9,21
0.9,23
0.8,21
1.1,24
0.9,21
1.6,22
1.7,22
0.7,27
0.6,31
0.3,30
0.3,31
0.5,25
0.5,20
0.4,39
0.3,33
0.4,25
0.5,23
0.4,21
0.5,29
0.4,26
0.5,25
0.3,28
0.2,25
0.5,27
1,24
0.8,16
1.1,15
1.3,25
1.2,17
1,21
1,27
1,28
1.1,24
1,25
0.7,41
1.1,32
1.4,25
0.9,25
1.2,18
0.9,22
0.7,19
0.9,30
0.9,20
1.3,22
1.7,20
1.3,20
1.3,22
1.2,17
0.8,27
0.8,25
1,17
0.8,16
0.7,24
0.5,32
0.6,29
0.6,25
0.6,22
0.6,24
1,19
1,23
1.1,21
1.5,13
0.8,34
0.5,29
0.5,28
0.9,17
1.1,15
0.7,29
1.3,14
0.8,25
0.6,32
0.8,18
0.9,32
1,39
0.9,37
1.2,19
1.7,35
1.7,29
1.3,36
1.3,43
1.4,42
1.6,41
1.7,32
1.5,40
1.5,46
1.1,47
1,39
1.4,40
1.2,28
1,31
1,30
0.9,30
0.7,38
0.5,35
0.7,31
0.7,25
0.7,26
1.1,16
0.8,29
0.6,25
0.7,20
0.7,22
0.4,24
0.3,21
0.2,27
0.3,23
0.8,23
1,23
1,28
0.6,23
0.6,19
1,22
1.1,26
1.2,26
1,29
0.8,29
1.1,28
1.4,30
1.2,20
0.8,30
0.2,38
0.3,35
0.5,28
0.8,22
0.5,30
0.6,28
0.5,27
0.7,25
1,19
0.4,34
1,25
0.9,28
0.6,31
1,31
1.5,23
1.4,32
1.6,25
1.5,26
1.5,17
1.3,18
1.6,13
1,18
1.1,16
1.1,10
1,15
1.2,15
1.5,14
1.3,16
1,20
1,23
1.5,13
0.9,21
1.5,12
1.3,18
0.7,30
0.8,33
1,19
0.9,18
0.9,23
0.9,21
0.7,25
1.1,15
1.7,21
2.5,9
1.1,35
1.6,21
