temp,carbon 
82.2,0.2
76.3,0.2
78,0.2
80.8,0.2
80.2,0.1
71.8,0.2
73.8,0.2
75.5,0.1
78.2,0.3
81.2,0.4
81,0.4
83.2,0.4
84,0.4
82.6,0.3
80.5,0.3
78.4,0.3
79.5,0.3
79.8,0.4
79.2,0.4
70.3,0.5
73.4,0.4
71,0.4
73.3,0.5
77.3,0.5
80.9,0.4
72,0.3
73.5,0.5
79.6,0.6
80.2,0.4
79.3,0.4
77.8,0.4
79.8,0.4
79.4,0.3
80.6,0.4
80.4,0.3
78.3,0.3
74.8,0.3
57.2,0.3
59.9,0.3
64.1,0.6
69.5,0.6
61.5,0.4
63,0.4
65.2,0.3
46.1,0.2
46.8,0.2
50.6,0.3
51.5,0.3
60,0.3
64.1,0.3
61.9,0.3
63.4,0.4
63,0.4
61.8,0.4
63.8,0.4
63.5,0.5
64.4,0.5
65.3,0.5
67.4,0.5
68,0.3
57.9,0.4
54.1,0.3
57.1,0.4
62.2,0.3
59.3,0.3
66.8,0.3
66.9,0.3
66.5,0.4
66,0.3
52,0.3
52.3,0.5
57.3,0.4
40.9,0.2
37.1,0.3
42.7,0.8
47.7,0.7
49.6,0.6
55.8,0.5
52.8,0.6
52.3,0.5
53.5,0.3
53.9,0.7
53.5,0.5
55.5,0.3
56.7,0.3
52.1,0.3
49.5,0.3
49.5,0.4
56.5,0.3
59.7,0.5
53.6,0.3
84.9,0.3
84.9,0.3
84.8,0.4
84.1,0.3
82.7,0.4
85.3,0.4
85.2,0.4
82.3,0.4
79.8,0.4
80.3,0.4
82,0.4
83,0.4
80.2,0.3
77.8,0.3
71.5,0.4
75.2,0.4
79.2,0.4
81.7,0.4
82.9,0.3
83.1,0.3
72,0.4
75,0.4
79.8,0.3
75.6,0.3
77,0.3
78.9,0.3
76.6,0.3
76.9,0.3
79.1,0.3
75.7,0.4
72.7,0.4
71.3,0.4
74.5,0.4
72.3,0.5
76,0.4
76.8,0.3
68.2,0.3
71.7,0.4
74.1,0.3
73.8,0.2
56.9,0.2
60,0.4
68.1,0.5
69,0.4
72.3,0.4
66.7,0.3
68.7,0.6
71.5,0.3
67.3,0.3
68.5,0.2
62.4,0.3
63.3,0.3
64.9,0.3
56.3,0.2
46.8,0.3
55.3,0.2
68.4,0.3
67.1,0.3
64.7,0.3
53.9,0.2
46,0.3
51.9,0.4
53.4,0.3
58.9,0.4
66.7,0.4
66.8,0.5
65.7,0.4
57.5,0.3
51,0.5
57.6,0.6
65.2,0.4
56,0.2
39.8,0.2
48,0.3
51.3,0.3
52.3,0.5
55.9,0.5
54.8,0.5
57.5,0.5
61.1,0.4
60.4,0.4
52.9,0.4
51.5,0.3
49.5,0.5
50.8,0.3
56.2,0.2
54.3,0.2
43.3,0.2
45.9,0.3
52.3,0.3
47.6,0.3
80.8,0
82.5,0.1
86.3,0.3
87.5,0
83.5,0
82.6,0.1
85.9,0.2
81.5,0.1
58,0
56.8,0.1
66.2,0.1
72.2,0.1
77.8,0.1
71.4,0.1
72.9,0.2
78,0.2
78.4,0.1
75.8,0.1
74.9,0.2
76.2,0.2
77.1,0.3
78.9,0.2
80,0.2
80,0.2
83.1,0.3
83.8,0.1
83.8,0.1
67,0.1
67.9,0.3
72.5,0.4
75.5,0.2
76.1,0.3
75.9,0.1
73.7,0.2
77.1,0.3
76,0.3
76.7,0.4
76.4,0.4
77.2,0.2
77.2,0.1
75.9,0.1
73.7,0.2
74.9,0.4
78.8,0.2
71.4,0.1
65.9,0.1
72.3,0.2
75.7,0.2
74.3,0.2
74.5,0.2
73.3,0.3
75.7,0.1
69.4,0.1
67.7,0.2
76.1,0.1
52.9,0.1
32.2,0.2
42.6,0.2
52.7,0.3
58.6,0.5
62,0.4
65.3,0.1
63.9,0.2
63.8,0.3
65.9,0.5
68.7,0.2
69.6,0.2
70.5,0.1
69,0.1
62.9,0.1
51.2,0.2
53.2,0.3
58.2,0.3
60,0.3
61.1,0.1
56.7,0.3
57.9,0.4
63.7,0.3
67.5,0.3
69.2,0.4
68.5,0.5
67.8,0.3
61.7,0.1
64.3,0.2
59.5,0.2
54.1,0.2
57.3,0.4
53.1,0.3
45.6,0.2
46.9,0.2
45.2,0.2
74.9,0.1
79.8,0.1
82.1,0.2
82.6,0.1
77,0.1
80.7,0.1
82.7,0.2
83.1,0.2
83.7,0.2
83.9,0.3
82.8,0.3
81.9,0.2
81.4,0.3
83.6,0.2
82.3,0.1
83.6,0.1
84.5,0.1
84,0.1
84.3,0.1
83,0
76.4,0.1
72.8,0.1
75,0.1
75.4,0.1
74.3,0.1
70.2,0
71.9,0
72.1,0
72.8,0
65.2,0
66.5,0.1
69.2,0
74,0
75.4,0.1
76.7,0
77.3,0.1
76.1,0
77.6,0.1
80,0
69.4,0
69.7,0.1
73.7,0
61.7,0
65.1,0
62.3,0
64.1,0
68.9,0.1
72.7,0.1
70,0
68,0.1
70.2,0.2
72.8,0.2
71.8,0
69.5,0
72.3,0.2
68.9,0
58.4,0.1
59.8,0.3
63.2,0.5
65.9,0.4
69.4,0.3
67.1,0.4
66.6,0.2
59.8,0.2
56.3,0.3
61.9,0.5
64.5,0.6
65.6,0.5
66.6,0.5
66.1,0.3
64.1,0.3
59.6,0.4
58.2,0.4
59.2,0.4
60.8,0.5
62.7,0.3
63.2,0.2
