temp,radiation
73.8,0.287
77.7,0.412
80.5,0.361
82.2,0.379
83.3,0.402
74.1,0.105
73.3,0.286
75.3,0.249
79.9,0.409
74.9,0.398
75.9,0.394
78.6,0.272
78.2,0.398
79.9,0.343
81,0.377
79.7,0.392
79.4,0.385
80.5,0.389
82.1,0.383
84.2,0.305
84.1,0.312
83.3,0.358
79.9,0.352
73.7,0.334
70.4,0.265
60.6,0.101
64.5,0.278
72.2,0.329
76.3,0.332
69.2,0.306
73.5,0.337
75.5,0.347
76.7,0.293
71,0.351
72.6,0.347
74.4,0.34
67.1,0.241
65.3,0.231
69.8,0.256
73.2,0.304
77.1,0.319
77.4,0.323
73.7,0.302
73.2,0.317
75.6,0.321
76.6,0.318
76.2,0.318
74.8,0.316
74.1,0.31
67.4,0.296
67.2,0.295
69.4,0.282
71,0.289
72.9,0.274
74.4,0.247
72.8,0.284
74.7,0.277
72.4,0.243
72.5,0.271
72,0.272
72.9,0.264
73,0.194
70.2,0.186
64.8,0.065
64.3,0.142
66.4,0.154
62.9,0.247
63.8,0.241
63.3,0.251
55.4,0.247
54.8,0.187
57.3,0.237
57.8,0.219
58.2,0.24
60.2,0.241
61.5,0.242
62.6,0.216
67.6,0.231
55,0.237
52.7,0.233
56.6,0.228
59.9,0.093
55.9,0.23
53.4,0.226
53.8,0.203
54.2,0.158
55,0.159
59.6,0.198
49.7,0.209
47.2,0.086
42.2,0.214
81,0.408
82.1,0.295
82.5,0.387
81.8,0.399
81.5,0.37
79.1,0.367
82.1,0.372
81.5,0.352
79.7,0.325
79.5,0.381
80.6,0.389
82.6,0.381
84.5,0.379
83.6,0.365
82.3,0.329
80.3,0.362
80.7,0.355
81.9,0.36
82.2,0.353
81.3,0.37
83.2,0.368
83.9,0.355
79.4,0.276
76.6,0.357
75.4,0.364
72.5,0.29
65.7,0.147
68.3,0.243
71.1,0.239
71.1,0.27
76.8,0.342
80.3,0.344
78.9,0.332
78.5,0.27
80.9,0.265
80.5,0.322
70.4,0.341
73,0.338
73.2,0.326
59.3,0.318
67.2,0.314
75.7,0.298
78.9,0.292
79.2,0.27
65.9,0.314
67.3,0.303
71.1,0.291
72.8,0.194
72,0.274
71.8,0.276
70.9,0.294
66.3,0.298
68,0.295
63.4,0.285
62.3,0.285
69.8,0.282
55.5,0.274
55.3,0.272
61.7,0.275
65.4,0.261
57.7,0.258
66.2,0.238
65.7,0.263
67.8,0.225
64.5,0.111
69,0.255
68.6,0.243
68.5,0.2
57.2,0.177
55.9,0.236
62.5,0.238
67.1,0.234
64.1,0.214
62.8,0.221
67.7,0.235
66.6,0.236
65.9,0.23
69.8,0.221
59.5,0.19
52.7,0.214
53.8,0.212
60.4,0.207
57.2,0.214
57.8,0.219
63.3,0.22
63.1,0.217
62.2,0.214
61.7,0.212
65,0.21
52.5,0.165
57.4,0.2
82.2,0.304
76.3,0.292
78,0.389
80.8,0.435
80.2,0.31
71.8,0.245
73.8,0.208
75.5,0.422
78.2,0.42
81.2,0.42
81,0.417
83.2,0.416
84,0.413
82.6,0.411
80.5,0.41
78.4,0.405
79.5,0.399
79.8,0.394
79.2,0.354
70.3,0.147
73.4,0.386
71,0.374
73.3,0.393
77.3,0.392
80.9,0.319
72,0.343
73.5,0.374
79.6,0.374
80.2,0.367
79.3,0.373
77.8,0.283
79.8,0.341
79.4,0.366
80.6,0.358
80.4,0.355
78.3,0.32
74.8,0.245
57.2,0.091
59.9,0.33
64.1,0.35
69.5,0.299
61.5,0.076
63,0.232
65.2,0.286
46.1,0.123
46.8,0.148
50.6,0.11
51.5,0.059
60,0.246
64.1,0.253
61.9,0.22
63.4,0.211
63,0.074
61.8,0.283
63.8,0.327
63.5,0.317
64.4,0.311
65.3,0.301
67.4,0.289
68,0.154
57.9,0.141
54.1,0.271
57.1,0.291
62.2,0.282
59.3,0.274
66.8,0.278
66.9,0.278
66.5,0.276
66,0.275
52,0.249
52.3,0.23
57.3,0.259
40.9,0.238
37.1,0.261
42.7,0.252
47.7,0.259
49.6,0.252
55.8,0.254
52.8,0.236
52.3,0.242
53.5,0.242
53.9,0.238
53.5,0.132
55.5,0.233
56.7,0.208
52.1,0.235
49.5,0.23
49.5,0.236
56.5,0.235
59.7,0.211
53.6,0.167
84.9,0.42
84.9,0.431
84.8,0.431
84.1,0.404
82.7,0.31
85.3,0.362
85.2,0.429
82.3,0.43
79.8,0.371
80.3,0.355
82,0.406
83,0.425
80.2,0.301
77.8,0.241
71.5,0.207
75.2,0.302
79.2,0.357
81.7,0.398
82.9,0.36
83.1,0.396
72,0.103
75,0.326
79.8,0.387
75.6,0.367
77,0.378
78.9,0.387
76.6,0.375
76.9,0.383
79.1,0.383
75.7,0.228
72.7,0.199
71.3,0.347
74.5,0.293
72.3,0.226
76,0.356
76.8,0.364
68.2,0.344
71.7,0.267
74.1,0.35
73.8,0.356
56.9,0.35
60,0.342
68.1,0.324
69,0.233
72.3,0.319
66.7,0.334
68.7,0.328
71.5,0.279
67.3,0.326
68.5,0.325
62.4,0.328
63.3,0.324
64.9,0.317
56.3,0.306
46.8,0.31
55.3,0.316
68.4,0.308
67.1,0.267
64.7,0.299
53.9,0.227
46,0.304
51.9,0.297
53.4,0.261
58.9,0.233
66.7,0.27
66.8,0.267
65.7,0.173
57.5,0.12
51,0.136
57.6,0.258
65.2,0.242
56,0.09
39.8,0.138
48,0.263
51.3,0.259
52.3,0.254
55.9,0.224
54.8,0.184
57.5,0.255
61.1,0.181
60.4,0.241
52.9,0.163
51.5,0.214
49.5,0.242
50.8,0.21
56.2,0.121
54.3,0.186
43.3,0.057
45.9,0.112
52.3,0.218
47.6,0.176
80.8,0.411
82.5,0.445
86.3,0.445
87.5,0.441
83.5,0.438
82.6,0.433
85.9,0.41
81.5,0.396
58,0.21
56.8,0.253
66.2,0.323
72.2,0.274
77.8,0.31
71.4,0.233
72.9,0.377
78,0.38
78.4,0.383
75.8,0.35
74.9,0.386
76.2,0.382
77.1,0.367
78.9,0.371
80,0.367
80,0.386
83.1,0.383
83.8,0.381
83.8,0.383
67,0.369
67.9,0.377
72.5,0.38
75.5,0.377
76.1,0.367
75.9,0.367
73.7,0.359
77.1,0.355
76,0.356
76.7,0.35
76.4,0.348
77.2,0.351
77.2,0.351
75.9,0.346
73.7,0.334
74.9,0.334
78.8,0.342
71.4,0.329
65.9,0.329
72.3,0.325
75.7,0.327
74.3,0.307
74.5,0.324
73.3,0.316
75.7,0.315
69.4,0.308
67.7,0.303
76.1,0.26
52.9,0.295
32.2,0.126
42.6,0.303
52.7,0.297
58.6,0.289
62,0.231
65.3,0.234
63.9,0.291
63.8,0.281
65.9,0.271
68.7,0.283
69.6,0.257
70.5,0.27
69,0.195
62.9,0.252
51.2,0.257
53.2,0.267
58.2,0.265
60,0.264
61.1,0.26
56.7,0.263
57.9,0.259
63.7,0.246
67.5,0.238
69.2,0.236
68.5,0.232
67.8,0.213
61.7,0.228
64.3,0.196
59.5,0.239
54.1,0.243
57.3,0.242
53.1,0.232
45.6,0.234
46.9,0.235
45.2,0.232
74.9,0.331
79.8,0.39
82.1,0.401
82.6,0.382
77,0.17
80.7,0.421
82.7,0.396
83.1,0.369
83.7,0.42
83.9,0.418
82.8,0.397
81.9,0.4
81.4,0.411
83.6,0.411
82.3,0.36
83.6,0.401
84.5,0.405
84,0.404
84.3,0.403
83,0.402
76.4,0.396
72.8,0.363
75,0.31
75.4,0.33
74.3,0.191
70.2,0.354
71.9,0.368
72.1,0.351
72.8,0.366
65.2,0.25
66.5,0.377
69.2,0.381
74,0.368
75.4,0.372
76.7,0.354
77.3,0.358
76.1,0.356
77.6,0.357
80,0.368
69.4,0.366
69.7,0.353
73.7,0.336
61.7,0.35
65.1,0.353
62.3,0.354
64.1,0.338
68.9,0.326
72.7,0.325
70,0.331
68,0.328
70.2,0.321
72.8,0.308
71.8,0.32
69.5,0.317
72.3,0.312
68.9,0.296
58.4,0.318
59.8,0.311
63.2,0.307
65.9,0.303
69.4,0.279
67.1,0.294
66.6,0.288
59.8,0.289
56.3,0.285
61.9,0.285
64.5,0.282
65.6,0.277
66.6,0.182
66.1,0.279
64.1,0.257
59.6,0.277
58.2,0.273
59.2,0.267
60.8,0.27
62.7,0.269
63.2,0.372
